ITEM,DATE,QTY,,DRONE SN CODE,Standard Controller,Ma Gesture Controller,,Universal Modal,,Charger,Li-ion Upper,All Dock,UPC,SAM
Phone,5/10/17,100,,aber117sr1056,4501135313,250AAAD6500149,251AAAD6510086,252AAAD6510272,1,504AE6440486,106HE160610308,404ACBF7021495,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1058,4501135314,250AAAD6500217,251AAAD6510082,252AAAD6510407,1,504AE6440746,106HE160610268,404ACBF7021319,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1116,4501072113,250AAAD6500122,251AAAD6510047,252AAAD6510234,1,610AAAE7121287,106HE150610664,404ACBF7021483,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1169,4501135313,250AAAD6500262,251AAAD6510351,252AAAD6510433,1,504AE6440433,106HE150610662,404ACBF7021398,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1172,4501135313,250AAAD6510255,251AAAD6510117,252AAAD6510391,1,610AAAE7121283,106HE150610676,404ACBF7021394,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1173,4501135313,250AAAD6510223,251AAAD6510161,252AAAD6510415,1,504AE6440459,106HE150610596,404ACBF7020899,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1178,4501135313,250AAAD6510226,251AAAD6510001,252AAAD6510446,1,504AE6440453,106HE150610694,404ACBF7021525,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1179,4501135314,250AAAD6510003,251AAAD6510364,252AAAD6510244,1,504AE6440499,106HE160610283,404ACBF7021304,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1182,4501135311,250AAAD6510144,251AAAD6510088,252AAAD6510235,1,610AAAE7121503,106HE160610293,404ACBF7020554,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1189,4501135314,250AAAD6510535,251AAAD6510328,252AAAD6510271,1,504AE6440329,106HE150610685,404ACBF7020739,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1190,4501135313,250AAAD6510071,251AAAD6510347,252AAAD6510406,1,610AAAE7121195,106HE150610681,404ACBF7021345,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1193,4501135313,250AAAD6500073,251AAAD6510010,252AAAD6510404,1,504AE6440656,106HE150610611,404ACBF7021094,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1205,4501135314,250AAAD6500218,251AAAD6510179,252AAAD6510380,1,610AAAE7121215,106HE150610661,404ACBF7021289,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1246,4501135312,250AAAD6510127,251AAAD6500041,252AAAD6510294,1,504AE6440544,106HE160610239,404ACBF7021110,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1248,4501135314,250AAAD6510122,251AAAD6510186,252AAAD6510403,1,504AE6440333,106HE160610316,404ACBF7021526,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1250,4501135314,250AAAD6510208,251AAAD6510349,252AAAD6510423,1,610AAAE7121289,106HE150610621,404ACBF7020715,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1254,4501135314,250AAAD6510536,251AAAD6510361,252AAAD6510390,1,610AAAE7121291,106HE150610643,404ACBF7020730,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1255,4501135311,250AAAD6510012,251AAAD6510025,252AAAD6510465,1,504AE6440653,106HE150610578,404ACBF7021384,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1263,4501135311,250AAAD6500119,251AAAD6510698,252AAAD6510243,1,610AAAE7121219,106HE160610378,404ACBF7021392,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1264,4501135313,250AAAD6510272,251AAAD6510196,252AAAD6510416,1,504AE6440465,106HE150610655,404ACBF7020853,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1266,4501135313,250AAAD6500109,251AAAD6510076,252AAAD6510284,1,504AE6440388,106HE160610260,404ACBF7021362,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1282,4501135312,250AAAD6510052,251AAAD6510055,252AAAD6510250,1,504AE6440579,106HE160610076,404ACBF7021177,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1286,4501135311,250AAAD6500198,251AAAD6510136,252AAAD6510269,1,504AE6440353,106HE160610389,404ACBF7020463,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1290,4501135314,250AAAD6510197,251AAAD6510169,252AAAD6510277,1,504AE6440500,106HE150610575,404ACBF7020520,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1295,4501135314,250AAAD6500075,251AAAD6510140,252AAAD6510295,1,504AE6440620,106HE150610691,404ACBF7020571,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr1303,4501135313,250AAAD6500070,251AAAD6510699,252AAAD6510384,1,610AAAE7121221,106HE160610487,404ACBF7021461,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120027,4501135313,250AAAD6500190,251AAAD6510007,252AAAD6510461,1,504AE6440454,106HE160610244,404ACBF7021322,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120055,4501135313,250AAAD6500094,251AAAD6510105,252AAAD6510375,1,504AE6440529,106HE160610326,404ACBF7021389,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120058,4501135312,250AAAD6510038,251AAAD6500224,252AAAD6510422,1,610AAAE7121222,106HE150610626,404ACBF7021448,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120065,4501135313,250AAAD6510508,251AAAD6510687,252AAAD6510251,1,610AAAE7121072,106HE160610269,404ACBF7021346,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120066,4501135314,250AAAD6500219,251AAAD6510028,252AAAD6510408,1,504AE6440554,106HE160610252,404ACBF7021307,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120067,4501135311,250AAAD6500174,251AAAD6510369,252AAAD6510260,1,610AAAE7121281,106HE150610687,404ACBF7021482,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120068,4501135314,250AAAD6500104,251AAAD6510119,252AAAD6510371,1,610AAAE7121284,106HE160610002,404ACBF7020721,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120074,4501135314,250AAAD6500266,251AAAD6510111,252AAAD6510344,1,504AE6440644,106HE160610042,404ACBF7021365,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120084,4501135313,250AAAD6510233,251AAAD6510184,252AAAD6510388,1,504AE6440458,106HE160610001,404ACBF7021478,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120086,4501135313,250AAAD6510220,251AAAD6510078,252AAAD6510274,1,504AE6440446,106HE150610660,404ACBF7020810,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120087,4501135314,250AAAD6510035,251AAAD6510005,252AAAD6510463,1,504AE6440546,106HE150610624,404ACBF7021293,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120088,4501135314,250AAAD6510282,251AAAD6510085,252AAAD6510419,1,504AE6440367,106HE150610635,404ACBF7021337,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120090,4501135314,250AAAD6510005,251AAAD6510190,252AAAD6510418,1,504AE6440547,106HE150610646,404ACBF7021317,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120091,4501135314,250AAAD6510195,251AAAD6510091,252AAAD6510278,1,610AAAE7121085,106HE160610367,404ACBF7021294,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120093,4501135313,250AAAD6510267,251AAAD6510112,252AAAD6510262,1,504AE6440549,106HE160610270,404ACBF7021331,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120120,4501135311,250AAAD6510123,251AAAD6510348,252AAAD6510365,1,504AE6440438,106HE150610670,404ACBF7021234,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120138,4501135314,250AAAD6510083,251AAAD6510204,252AAAD6510378,1,504AE6440645,106HE160610041,404ACBF7021083,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120139,4501135313,250AAAD6510093,251AAAD6510048,252AAAD6510362,1,504AE6440553,106HE160610264,404ACBF7021466,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120213,4501072100,250AAAD6500150,251AAAD6510321,252AAAD6510460,1,610AAAE7121504,106HE180610011,404ACBF7020561,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120214,4501135311,250AAAD6510542,251AAAD6510696,252AAAD6510249,1,610AAAE7121507,106HE160610468,404ACBF7020565,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120216,4501135314,250AAAD6510356,251AAAD6510684,252AAAD6510261,1,610AAAE7121078,106HE160610286,404ACBF7021443,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120217,4501135313,250AAAD6510239,251AAAD6500058,252AAAD6510275,1,650AAAE7121288,106HE150610620,404ACBF7021193,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120226,4501135314,250AAAD6510196,251AAAD6510094,252AAAD6510222,1,504AE6440630,106HE160610271,404ACBF7021415,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120237,4501135313,250AAAD6510283,251AAAD6500244,252AAAD6510263,1,610AAAE7121077,106HE160610289,404ACBF7021468,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120238,4501135311,250AAAD6500124,251AAAD6510340,252AAAD6510421,1,610AAAE7121506,106HE160610495,404ACBF7021477,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120239,4501135313,250AAAD6510134,251AAAD6510096,252AAAD6510297,1,504AE6440526,106HE150610698,404ACBF7021414,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120241,4501135311,250AAAD6510218,251AAAD6510182,252AAAD6510389,1,504AE6440364,106HE160610040,404ACBF7021488,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120243,4501135313,250AAAD6510271,251AAAD6510194,252AAAD6510382,1,504AE6440371,106HE160610310,404ACBF7021504,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120248,4501135313,250AAAD6510277,251AAAD6510200,252AAAD6510397,1,504AE6440483,106HE160610319,404ACBF7021501,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120251,4501135313,250AAAD6510214,251AAAD6510162,252AAAD6510368,1,504AE6440643,106HE160610031,404ACBF7021476,852123007318,6970629280029
Phone,5/10/17,100,,aber117sr120253,4501135313,250AAAD6510497,251AAAD6510207,252AAAD6510283,1,610AAAE7121241,106HE150610622,404ACBF7021203,852123007318,6970629280029
